step,colony_id,population,area,resources
229,1,1,102,-6190
230,1,1,101,-6200
231,1,1,100,-6210
232,1,1,98,-6230
233,1,1,98,-6230
234,1,1,97,-6240
235,1,1,97,-6240
236,1,1,94,-6270
237,1,1,92,-6290
238,1,1,91,-6300
239,1,1,91,-6300
240,1,1,89,-6320
241,1,1,88,-6330
242,1,1,88,-6330
243,1,1,89,-6320
244,1,1,89,-6320
245,1,1,89,-6320
246,1,1,89,-6320
247,1,1,89,-6320
248,1,1,88,-6330
249,1,1,86,-6350
250,1,1,85,-6360
251,1,1,84,-6370
1,2,5,1,0
2,2,3,3,0
3,2,3,5,20
4,2,3,7,40
5,2,3,8,50
6,2,3,10,70
7,2,3,12,90
8,2,4,15,70
9,2,4,16,80
10,2,5,18,50
11,2,5,21,80
12,2,6,24,60
13,2,7,28,50
14,2,8,33,50
15,2,8,35,70
16,2,9,41,80
17,2,10,46,80
18,2,10,51,130
19,2,11,57,140
20,2,12,58,100
21,2,11,59,80
22,2,10,61,20
23,2,10,63,40
24,2,10,64,50
25,2,10,66,70
26,2,11,69,50
27,2,11,72,80
28,2,11,72,80
29,2,12,74,50
30,2,11,76,10
31,2,11,77,20
32,2,11,79,40
33,2,10,80,20
34,2,9,82,-90
35,2,9,84,-70
36,2,9,87,-40
37,2,9,89,-20
38,2,9,86,-50
39,2,9,87,-40
40,2,7,87,-230
41,2,6,86,-250
42,2,6,87,-240
43,2,6,88,-230
44,2,6,87,-240
45,2,6,88,-230
46,2,6,86,-250
47,2,6,85,-260
48,2,6,82,-290
49,2,6,78,-330
50,2,6,77,-340
51,2,5,76,-410
52,2,4,74,-480
53,2,4,73,-490
54,2,3,72,-650
55,2,2,70,-800
56,2,2,66,-840
57,2,2,63,-870
58,2,1,60,-1160
59,2,1,58,-1180
60,2,1,55,-1210
61,2,1,54,-1220
62,2,1,53,-1230
63,2,1,51,-1250
64,2,0,48,-1340
65,2,0,48,-1340
66,2,0,47,-1350
67,2,0,45,-1370
68,2,0,45,-1370
69,2,0,43,-1390
70,2,0,41,-1410
71,2,0,41,-1410
72,2,0,41,-1410
73,2,0,38,-1440
74,2,0,37,-1450
75,2,0,36,-1460
76,2,0,34,-1480
77,2,0,32,-1500
78,2,0,29,-1530
79,2,0,29,-1530
80,2,0,29,-1530
81,2,0,26,-1560
82,2,0,24,-1580
83,2,0,23,-1590
84,2,0,23,-1590
85,2,0,23,-1590
86,2,0,23,-1590
87,2,0,22,-1600
88,2,0,22,-1600
89,2,0,21,-1610
90,2,0,20,-1620
91,2,0,19,-1630
92,2,0,17,-1650
93,2,0,16,-1660
94,2,0,14,-1680
95,2,0,14,-1680
96,2,0,13,-1690
97,2,0,13,-1690
98,2,0,13,-1690
99,2,0,12,-1700
100,2,0,12,-1700
101,2,0,12,-1700
102,2,0,10,-1720
103,2,0,9,-1730
104,2,0,8,-1740
105,2,0,8,-1740
106,2,0,8,-1740
107,2,0,8,-1740
108,2,0,7,-1750
109,2,0,7,-1750
110,2,0,6,-1760
111,2,0,6,-1760
112,2,0,6,-1760
113,2,0,6,-1760
114,2,0,5,-1770
115,2,0,5,-1770
116,2,0,4,-1780
117,2,0,3,-1790
118,2,0,3,-1790
119,2,0,3,-1790
120,2,0,3,-1790
121,2,0,2,-1800
122,2,0,1,-1810
123,2,0,1,-1810
124,2,0,1,-1810
125,2,0,1,-1810
126,2,0,1,-1810
127,2,0,1,-1810
128,2,0,1,-1810
129,2,0,1,-1810
130,2,0,0,-1820
131,2,0,0,-1820
132,2,0,0,-1820
133,2,0,0,-1820
134,2,0,0,-1820
135,2,0,0,-1820
136,2,0,0,-1820
137,2,0,0,-1820
138,2,0,0,-1820
139,2,0,0,-1820
140,2,0,0,-1820
141,2,0,0,-1820
142,2,0,0,-1820
143,2,0,0,-1820
144,2,0,0,-1820
145,2,0,0,-1820
146,2,0,0,-1820
147,2,0,0,-1820
148,2,0,0,-1820
149,2,0,0,-1820
150,2,0,0,-1820
151,2,0,0,-1820
152,2,0,0,-1820
153,2,0,0,-1820
154,2,0,0,-1820
155,2,0,0,-1820
156,2,0,0,-1820
157,2,0,0,-1820
158,2,0,0,-1820
159,2,0,0,-1820
160,2,0,0,-1820
161,2,0,0,-1820
162,2,0,0,-1820
163,2,0,0,-1820
164,2,0,0,-1820
165,2,0,0,-1820
166,2,0,0,-1820
167,2,0,0,-1820
168,2,0,0,-1820
169,2,0,0,-1820
170,2,0,0,-1820
171,2,0,0,-1820
172,2,0,0,-1820
173,2,0,0,-1820
174,2,0,0,-1820
175,2,0,0,-1820
176,2,0,0,-1820
177,2,0,0,-1820
178,2,0,0,-1820
179,2,0,0,-1820
180,2,0,0,-1820
181,2,0,0,-1820
182,2,0,0,-1820
183,2,0,0,-1820
184,2,0,0,-1820
185,2,0,0,-1820
186,2,0,0,-1820
187,2,0,0,-1820
188,2,0,0,-1820
189,2,0,0,-1820
190,2,0,0,-1820
191,2,0,0,-1820
192,2,0,0,-1820
193,2,0,0,-1820
194,2,0,0,-1820
195,2,0,0,-1820
196,2,0,0,-1820
197,2,0,0,-1820
198,2,0,0,-1820
199,2,0,0,-1820
200,2,0,0,-1820
201,2,0,0,-1820
202,2,0,0,-1820
203,2,0,0,-1820
204,2,0,0,-1820
205,2,0,0,-1820
206,2,0,0,-1820
207,2,0,0,-1820
208,2,0,0,-1820
209,2,0,0,-1820
210,2,0,0,-1820
211,2,0,0,-1820
212,2,0,0,-1820
213,2,0,0,-1820
214,2,0,0,-1820
215,2,0,0,-1820
216,2,0,0,-1820
217,2,0,0,-1820
218,2,0,0,-1820
219,2,0,0,-1820
220,2,0,0,-1820
221,2,0,0,-1820
222,2,0,0,-1820
223,2,0,0,-1820
224,2,0,0,-1820
225,2,0,0,-1820
226,2,0,0,-1820
227,2,0,0,-1820
228,2,0,0,-1820
229,2,0,0,-1820
230,2,0,0,-1820
231,2,0,0,-1820
232,2,0,0,-1820
233,2,0,0,-1820
234,2,0,0,-1820
235,2,0,0,-1820
236,2,0,0,-1820
237,2,0,0,-1820
238,2,0,0,-1820
239,2,0,0,-1820
240,2,0,0,-1820
241,2,0,0,-1820
242,2,0,0,-1820
243,2,0,0,-1820
244,2,0,0,-1820
245,2,0,0,-1820
246,2,0,0,-1820
247,2,0,0,-1820
248,2,0,0,-1820
249,2,0,0,-1820
250,2,0,0,-1820
251,2,0,0,-1820
